Ddistrict,,Population,Area,Density
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Agra,,"4,380,793","4,027","1,084"
Aligarh,,"3,673,849","3,747","1,007"
Ambedkar Nagar,,"2,398,709","2,372","1,021"
Amethi,,"2,549,935","3,063",830
Amroha,,"1,838,771","2,321",818
Auraiya,,"1,372,287","2,051",681
Ayodhya,,"2,468,371","2,765","1,054"
Azamgarh,,"4,616,509","4,053","1,139"
Bagpat,,"1,302,156","1,345",986
Bahraich,,"2,384,239","4,926",415
Ballia,,"3,223,642","2,981","1,081"
Balrampur,,"2,149,066","3,349",642
Banda,,"1,799,541","4,413",404
Barabanki,,"3,257,983","3,825",739
Bareilly,,"4,465,344","4,120","1,084"
Basti,,"2,461,056","2,687",916
Bhadohi,,"1,554,203",960,"1,531"
Bijnor,,"3,683,896","4,561",808
Budaun,,"3,712,738","5,168",718
Bulandshahr,,"3,498,507","3,719",788
Chandauli,,"1,952,713","2,554",768
Chitrakoot,,"990,626","3,202",315
Deoria,,"3,098,637","2,535","1,220"
Etah,,"1,761,152","2,456",717
Etawah,,"1,579,160","2,287",683
Farrukhabad,,"1,887,577","2,279",865
Fatehpur,,"2,632,684","4,152",634
Firozabad,,"2,496,761","2,361","1,044"
Gautam Buddha Nagar,,"1,674,714","1,269","1,252"
Ghaziabad,,"4,661,452","1,175","3,967"
Ghazipur,,"3,622,727","3,377","1,072"
Gonda,,"3,431,386","4,425",857
Gorakhpur,,"4,436,275","3,325","1,336"
Hamirpur,,"1,104,021","4,325",268
Hapur,,"1,338,211",660,"2,028"
Hardoi,,"4,091,380","5,986",683
Hathras,,"1,565,678","1,752",851
Jalaun,,"1,670,718","4,565",366
Jaunpur,,"4,476,072","4,038","1,108"
Jhansi,,"2,000,755","5,024",398
Kannauj,,"1,658,005","1,993",792
Kanpur Dehat,,"1,795,092","3,021",594
Kanpur Nagar,,"4,572,951","3,156","1,415"
Kasganj,,"1,438,156","1,955",736
Kaushambi,,"1,596,909","1,837",897
Kushinagar,,"3,560,830","2,909","1,226"
Lakhimpur Kheri,,"4,013,634","7,674",523
Lalitpur,,"1,218,002","5,039",242
Lucknow,,"4,588,455","2,528","1,815"
Maharajganj,,"2,665,292","2,953",903
Mahoba,,"876,055","2,847",288
Mainpuri,,"1,847,194","2,760",670
Mathura,,"2,541,894","3,333",761
Mau,,"2,205,170","1,713","1,287"
Meerut,,"3,447,405","2,522","1,342"
Mirzapur,,"2,494,533","4,522",561
Moradabad,,"4,773,138","3,718","1,284"
Muzaffarnagar,,"4,138,605","4,008","1,033"
Pilibhit,,"2,037,225","3,499",567
Pratapgarh,,"3,173,752","3,717",854
Prayagraj,,"5,959,798","5,481","1,087"
Raebareli,,"3,404,004","4,609",739
Rampur,,"2,335,398","2,367",987
Saharanpur,,"3,464,228","3,689",939
Sambhal,,"2,217,020",2453,890
Sant Kabir Nagar,,"1,714,300","1,442","1,014"
Shahjahanpur,,"3,002,376","4,575",673
Shamli[17],,"1,274,815","1,063","1,200"
Shravasti,,"1,114,615","1,948",572
Siddharthnagar,,"2,553,526","2,751",882
Sitapur,,"4,474,446","5,743",779
Sonbhadra,,"1,862,612","6,788",274
Sultanpur,,"3,790,922","4,436",855
Unnao,,"3,110,595","4,561",682
Varanasi,,"3,682,194","1,535","2,399"
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Almora,,"621,927","3,090",198
Bageshwar,,"259,840","2,310",116
Chamoli,,"391,114","7,692",49
Champawat,,"259,315","1,781",147
Dehradun,,"1,698,560","3,088",550
Haridwar,,"1,927,029","2,360",817
Nainital,,"955,128","3,853",225
Pauri Garhwal,,"686,527","5,438",129
Pithoragarh,,"485,993","7,110",69
Rudraprayag,,"236,857","1,896",119
Tehri Garhwal,,"616,409","4,085",169
Udham Singh Nagar,,"1,648,367","2,912",648
Uttarkashi,,"329,686","7,951",41
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Alipurduar,,"1,501,983","3,136",479
Bankura,,"3,596,292","6,882",523
Birbhum,,"3,502,387","4,545",771
Cooch Behar,,"2,822,780","3,387",833
Dakshin Dinajpur,,"1,670,931","2,183",753
Darjeeling,,"1,595,181","2,093",762
Hooghly,,"5,520,389","3,149","1,753"
Howrah,,"4,841,638","1,467","3,300"
Jalpaiguri,,"3,869,675","6,227",621
Jhargram,,"1,136,548","3,038",374
Kalimpong,,"251,642","1,054",239
Kolkata,,"4,486,679",206.08,"24,252"
Maldah,,"3,997,970","3,733","1,071"
Murshidabad,,"7,102,430","5,324","1,334"
Nadia,,"5,168,488","3,927","1,316"
North 24 Parganas,,"10,082,852","4,094","2,463"
Paschim Bardhaman,,"2,882,031","1,603","1,798"
Paschim Medinipur,,"4,776,909","6,308",757
Purba Bardhaman,,"4,835,532","5,433",890
Purba Medinipur,,"5,095,875","4,736","1,076"
Purulia,,"2,927,965","6,259",468
South 24 Parganas,,"8,161,961","9,960",819
Uttar Dinajpur,,"3,000,849","3,180",956
,,,,
,,,,
,,,,
District[9],,"Population 
(2011)[18]","Area 
(km2)[19]","Density 
(/km2)[9][20]"
Nicobar,,"36,842","1,841",20
North and Middle Andaman,,"105,597","3,736",28
South Andaman,,"238,142","2,672",89
,,,,
District,,"Population 
(2011)[9][21]","Area 
(km2)[22]","Density 
(/km2)[9][23]"
Chandigarh,,"1,055,450",114,"9,258"
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Daman,,"191,173[24]",72[25],"2,651"
Diu,,"52,074[26]",39[27],"2,058"
Dadra and Nagar Haveli,,"343,709",491,700
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Anantnag,,"1,070,144",2853,375
Budgam,,"735,753",1406,537
Bandipore,,"385,099","3,010",128
Baramulla,,"1,015,503",3329,305
Doda,,"409,576","2,625",79
Ganderbal,,"297,003",1979,"1,151"
Jammu,,"1,526,406","3,097",596
Kathua,,"615,711","2,651",232
Kishtwar,,"230,696","7,737",30
Kulgam,,"422,786",457,925
Kupwara,,"875,564","2,379",368
Poonch,,"476,820","1,674",285
Pulwama,,"570,060","1,398",598
Rajouri,,"619,266","2,630",235
Ramban,,"283,313","1,330",213
Reasi,,"314,714",1710,184
Samba,,"318,611",913,318
Shopian,,"265,960",312,852
Srinagar,,"1,269,751","2,228",703
Udhampur,,"555,357","4,550",211
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Kargil,,"143,388","14,036",10
Leh,,"133,487","45,110",3
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Lakshadweep,,"64,473[28]",30[29],"2,149[30]"
,,,,
,,,,
District[9],,"Population 
(2011)[31]","Area 
(km2)[citation needed]","Density 
(/km2)[9][32]"
Central Delhi,,"582,320",25,"27,730"
East Delhi,,"1,709,346",440,"27,132"
New Delhi,,"142,004",22,"4,057"
North Delhi,,"887,978",59,"14,557"
North East Delhi,,"2,241,624",52,"36,155"
North West Delhi,,"3,656,539",130,"8,254"
Shahdara district,,–,59.75,–
South Delhi,,"2,731,929",250,"11,060"
South East Delhi,,"1,500,636",102,"15,000"
South West Delhi,,"2,292,958",395,"5,446"
West Delhi,,"2,543,243",112,"19,563"
,,,,
,,,,
District[9],,"Population 
(2011)","Area 
(km2)","Density 
(/km2)[9]"
Karaikal,,"200,222[33]",157[34],"1,275[35]"
Mahé,,"41,816[36]",9[37],"4,646[36]"
Puducherry,,"950,289[38]",293[39],"3,232[40]"
Yanam,,"55,626[41]",30[42],"1,854[41]"
